Internship Title,Company Name,Location,Start Date,Duration,Stipend,Apply By,Skills Required,Perks
Sourcing Executive - LTL,Stockarea,Chennai,Starts immediatelyImmediately,4 Months,"₹ 10,000 - 15,000 /month",18 May' 25,"Customer Acquisition, English Proficiency (Spoken), Hindi Proficiency (Spoken), Tamil Proficiency (Spoken), Warehouse Management, Flexible work hours, Informal dress code",N/A
Online Marketing,Teach Maven,Work from home,Starts immediatelyImmediately,2 Months,"₹ 5,500 - 25,000 /month",18 May' 25,"Kannada Proficiency (Spoken), Malayalam Proficiency (Spoken), Tamil Proficiency (Spoken), Telugu Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours, Job offer",N/A
Video Creator,Capital Engineering,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",18 May' 25,"Social Media Marketing, Video Making, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Finance Analyst,JP Financial,Mumbai,Starts immediatelyImmediately,2 Months,"₹ 15,000 /month",18 May' 25,"Effective Communication, MS-Excel, MS-Office, Informal dress code, 5 days a week",N/A
Content Creator,Capital Engineering,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",18 May' 25,"Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Video Editing/Making,Intelogik Solutions,Work from home,Starts immediatelyImmediately,1 Month,"₹ 5,500 - 8,800 /month",18 May' 25,Video Editing,N/A
Sales Consultant,Echo Booom,Guwahati,Starts immediatelyImmediately,2 Months,"₹ 12,000 - 33,000 /month",18 May' 25,"Effective Communication, Certificate, Letter of recommendation",N/A
Full Stack Development,Capital Engineering,Work from home,Starts immediatelyImmediately,3 Months,"₹ 15,000 /month",18 May' 25,"AngularJS, Bubble.io, CSS, HTML, JavaScript, MongoDB, MySQL, Node.js, PHP, Python, React, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Online Marketing,Capital Engineering,Work from home,Starts immediatelyImmediately,1 Month,"₹ 3,000 /month",18 May' 25,"Digital Advertising, Effective Communication, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Marketing,Capital Engineering,Work from home,Starts immediatelyImmediately,1 Month,"₹ 3,000 /month",18 May' 25,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), MS-Excel, MS-Office, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Digital Marketing,Be Rolling Media,Delhi                                                    (Hybrid),Starts immediatelyImmediately,4 Months,"₹ 5,000 - 8,000 /month",28 Apr' 25,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written)",N/A
Social Media Marketing,Capital Engineering,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",18 May' 25,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Business Development (Sales),PGfy (ThinkLogic Tech Solutions Private Limited),Bangalore,Starts immediatelyImmediately,2 Months,"₹ 5,500 - 11,000 /month",18 May' 25,"Sales, Certificate, Letter of recommendation",N/A
Graphic Design,PlanCover,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 20,000 /month",18 May' 25,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, MS-PowerPoint, Certificate, Letter of recommendation, Informal dress code, Job offer",N/A
Sales,Tradester Retail & Wholesale Private Limited,Work from home,Starts immediatelyImmediately,2 Months,"₹ 6,000 - 7,000 /month",18 May' 25,"Content Marketing, English Proficiency (Written), Lead Generation, Sales, Tamil Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours, Job offer",N/A
Business Development (Sales),Straight Angle Media,Delhi,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",18 May' 25,"English Proficiency (Spoken), MS-Excel, MS-Office, Certificate, Informal dress code, 5 days a week",N/A
Biofuel Industry & Technology Research,Energy Alternatives India,Chennai,Starts immediatelyImmediately,2 Months,"₹ 15,000 - 20,000 /month",18 May' 25,"Bioinformatics, Biology, Business Analysis, Business Research, Market Analysis, Market research, Strategy, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Social Media Marketing,Cocoma Digital Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 10,000 /month",18 May' 25,"English Proficiency (Spoken), Search Engine Optimization (SEO), Certificate, Free snacks & beverages",N/A
Administration,Shree Impex,"Gubbi, Bangalore                                                    (Hybrid)",Starts immediatelyImmediately,6 Months,"₹ 9,000 - 13,000 /month",18 May' 25,"English Proficiency (Spoken), MS-Office, MS-PowerPoint, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Graphic Design,Cocoma Digital Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 10,000 /month",18 May' 25,"Adobe After Effects, Adobe Photoshop, Certificate, Free snacks & beverages",N/A
Business Development (Sales),Swayam Essentials,"Bangalore, Harohalli                                                    (Hybrid)",Starts immediatelyImmediately,3 Months,"₹ 2,000 - 3,000 /month",18 May' 25,"Effective Communication, Email Marketing, English Proficiency (Spoken), MS-Excel, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Business Development (Sales),INI8 Labs Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 9,500 - 10,000 /month",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, 5 days a week",N/A
Campus Ambassador,Agnihotri Securities Limited,Work from home,Starts immediatelyImmediately,2 Months,Performance Based,18 May' 25,"Digital Marketing, English Proficiency (Spoken), Sales, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
Inside Sales,JOBSNAVIGATOR,Mumbai                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 5,000 - 10,000 /month",18 May' 25,Sales Support,N/A
Recruitment,Indegene,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",18 May' 25,Interview Coordination,N/A
Inside Sales,Sardar Patel Academy And Research Center,Delhi,Starts immediatelyImmediately,6 Months,"₹ 6,000 - 7,500 /month",18 May' 25,"Cold Calling, Effective Communication, Sales Strategy, Certificate, Letter of recommendation",N/A
School Book Sales Executive,Adisri Publications Private Limited,"Delhi, Ghaziabad, Noida",Starts immediatelyImmediately,3 Months,"₹ 13,000 - 15,000 /month",18 May' 25,"Effective Communication, Certificate",N/A
Marketing,Pawan Singh,Gurgaon                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 10,500 - 16,000 /month",18 May' 25,"English Proficiency (Spoken), Flexible work hours, Informal dress code",N/A
Volunteering,Kshitiksha Foundation                                  NGO,Work from home,Starts immediatelyImmediately,1 Month,Unpaid,18 May' 25,"Content Writing, English Proficiency (Spoken), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
Social Work,Kshitiksha Foundation                                  NGO,Work from home,Starts immediatelyImmediately,1 Month,Unpaid,18 May' 25,"Content Writing, English Proficiency (Spoken), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
Operations,Internshala,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 18,000 /month",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word, Certificate, Informal dress code, 5 days a week",N/A
Event Coordinator,Synfinity Dynamics,Hyderabad,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 13,000 /month",18 May' 25,"Event Management, Certificate, Letter of recommendation",N/A
Company Secretary (CS),Shah and Doshi,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 15,000 /month",18 May' 25,"Accounting, Company Law, English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
Digital Marketing,Intelli Market Solutions,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 7,000 /month",18 May' 25,"Digital Marketing, Facebook Marketing, Google AdWords, Graphic Design, Instagram Marketing, LinkedIn Marketing, Performance Marketing, Sales, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation",N/A
Legal Research,Women And Child Rights Trust                                  NGO,Noida,Starts immediatelyImmediately,5 Months,Unpaid,18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Word, Certificate, Letter of recommendation",N/A
UAV And Mechatronics R&D Engineer,GiftdMinds Learning Private Limited,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 15,000 - 20,000 /month",18 May' 25,"3D Modeling, 3D Printing, Fluid Simulation, Internet of Things (IoT), PCB Design, PCB Soldering, Robotics, Robot Operating System (ROS), Certificate, Letter of recommendation, Free snacks & beverages",N/A
Mobile App Development,GigFloww,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,000 /month",18 May' 25,"Figma, Next.js, Node.js, Prisma ORM, React, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Community Management,Tribe,Bangalore                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 15,000 - 17,000 /month",18 May' 25,"Client Interaction, Client Relationship, Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), Certificate, Letter of recommendation, Informal dress code",N/A
Growth & Program Management,InfyBytes AI Labs Private Limited,Work from home,Starts immediatelyImmediately,4 Months,"₹ 12,000 - 20,000 /month",18 May' 25,"Client Relationship, Data Extraction, Effective Communication, Lead Generation, Marketing, Sales, Time Management, Certificate, Letter of recommendation, Flexible work hours",N/A
Business Development (Sales),Indo European Educational Services Private Limited,Delhi,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",18 May' 25,"Counseling, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales Management, Certificate, Letter of recommendation",N/A
Human Resources (HR),INNOVATIVE SURFACE COATING TECHNOLOGY,Nagpur                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 10,000 - 20,000 lump sum",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Certificate, Letter of recommendation, Flexible work hours, Job offer",N/A
Business Development (Sales),OyeLabs,Work from home,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 20,000 /month",29 Apr' 25,"Business Development, Creative Thinking, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Lead Generation, MS-Excel, Negotiation, Operations, Problem Solving, Sales Management, Sales Strategy, Social Media Marketing, Strategy, Certificate, Letter of recommendation, Flexible work hours",N/A
Social Media Marketing,Silver Horse Ventures,"Pune, Pimpri-Chinchwad",Starts immediatelyImmediately,2 Months,"₹ 7,000 - 8,000 /month",18 May' 25,"Canva, Content Editing, Content Marketing, Creative Writing, Facebook Marketing, Instagram Marketing, Social Media Marketing, Video Editing, Certificate, Informal dress code",N/A
Digital Marketing,TrendyDice,Greater Noida,Starts immediatelyImmediately,4 Months,"₹ 14,000 - 25,000 /month",18 May' 25,"Creative Writing, Facebook Ads, Facebook Marketing, LinkedIn Ads, Search Engine Optimization (SEO), Social Media Marketing, YouTube Ads, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
Subject Matter Expert (Copyediting),Solvitude,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 15,000 /month",18 May' 25,"Biology, Computer Vision, Content Writing, Copywriting, Creative Writing, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Google Suite (G Suite), Google Workspace, LaTeX, Mathematics, MS-Excel, MS-Office, MS-Word, Physics, Proofreading, Quality Assurance/Quality Control (QA/QC), Certificate, Letter of recommendation, Flexible work hours",N/A
Receptionist,Cognizavest,Delhi,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 8,000 /month",18 May' 25,"Community Management, Interpersonal skills, Management, Time Management, Certificate, Letter of recommendation",N/A
3D Design And Animation,Glamanand Entertainment,Work from home,Starts immediatelyImmediately,4 Months,"₹ 7,000 - 10,000 /month",18 May' 25,"Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, Blender 3D, Cinema 4D, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Graphic Design,"House Of Kuttikat (Toronto, Canada)",Work from home,Starts immediatelyImmediately,4 Months,"₹ 1,000 - 5,000 /month",18 May' 25,"Adobe Illustrator, Adobe Photoshop, Canva, Capcut, Final Cut Pro",N/A
Trading And Investment,FNO Stock,Work from home,Starts immediatelyImmediately,1 Month,"₹ 5,000 - 10,000 /month",18 May' 25,"Financial literacy, Investing, Stock Trading, Certificate, Letter of recommendation, Flexible work hours",N/A
Chartered Accountancy (CA),Brihat Infotech Private Limited,Work from home,Starts immediatelyImmediately,2 Months,"₹ 3,000 - 5,000 /month",18 May' 25,"Accounting, Auditing, Financial Analysis, MS-Excel, MS-Office, MS-Word, Problem Solving, Report Generation, Statutory compliances, Tally, Taxation, Certificate, Letter of recommendation",N/A
Teaching,For Tomorrow Group Of Education And Training,Dehradun,Starts immediatelyImmediately,3 Months,"₹ 15,000 - 30,000 /month",18 May' 25,"Biology, Chemistry, Mathematics, Physics, Certificate, Letter of recommendation, Flexible work hours, Job offer",N/A
Quality Analyst,Brihat Infotech Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 3,500 - 4,000 /month",18 May' 25,"Analytical Thinking, Bug Tracking, Jira, Manual Testing, Certificate, Letter of recommendation",N/A
